,news_headline,news_article,news_category,token,labels_true,principal component 1,principal component 2,labels
0,OPPO to unveil Reno6 Pro 5G with Bokeh Flare Portrait Video today,"OPPO is set to launch the Reno6 Pro 5G equipped with Bokeh Flare Portrait Video and AI Highlight Video today. Featuring Reno Glow design, the device has a sleek 7.6 mm body and weighs 177g. Powered by MediaTek Dimensity 1200 5G chipset, OPPO Reno6 Pro 5G comes with 65W SuperVOOC 2.0 flash charging along with 12 GB RAM/256GB ROM.",technology,"['oppo', 'set', 'launch', 'reno', 'pro', 'equipped', 'bokeh', 'flare', 'portrait', 'video', 'highlight', 'video', 'today', 'featuring', 'reno', 'glow', 'design', 'device', 'sleek', 'body', 'weighs', 'powered', 'mediatek', 'dimensity', 'chipset', 'oppo', 'reno', 'pro', 'comes', 'supervooc', 'flash', 'charging', 'ram', 'rom']",2,-0.05964928179966537,-0.13462936973829204,2
1,Have to be CEO or Tesla would die: Elon Musk tells US court,"During a US trial over SolarCity's acquisition, billionaire Elon Musk said he tried ""very hard not to be the CEO of Tesla, but I have to or frankly Tesla is going to die"". He added ""I prefer to spend my time on design and engineering"" rather than being the boss of anyone. He also insisted that the board controlled Tesla. ",technology,"['trial', 'solarcity', 'acquisition', 'billionaire', 'elon', 'musk', 'said', 'tried', 'hard', 'ceo', 'tesla', 'frankly', 'tesla', 'going', 'die', 'added', 'prefer', 'spend', 'time', 'design', 'engineering', 'boss', 'insisted', 'board', 'controlled', 'tesla']",2,-0.08955887885200368,-0.03235269728821523,2
2,"Elon Musk pays $10,000 deposit to Virgin Galactic for $250,000 space flight ticket","SpaceX CEO Elon Musk has paid a $10,000 (around ₹7.5 lakh) deposit to Richard Branson's Virgin Galactic to book a $250,000 (₹1.86 crore) space flight ticket. Branson confirmed this to The Sunday Times, however, he said a date has not been set yet. ""Elon's a friend and maybe I'll travel on one of his ships one day,"" Branson said.",technology,"['spacex', 'ceo', 'elon', 'musk', 'paid', 'lakh', 'deposit', 'richard', 'branson', 'virgin', 'galactic', 'book', 'crore', 'space', 'flight', 'ticket', 'branson', 'confirmed', 'sunday', 'times', 'said', 'date', 'set', 'elon', 'friend', 'maybe', 'travel', 'ships', 'day', 'branson', 'said']",2,-0.041982448881896,-0.07936747580806877,2
3,'Google constantly listens to your conversations' is a 'myth': Google,"Google in a Facebook post called the notion about the company constantly listening to people's conversations a ""myth"". ""Google Assistant stays in standby mode and gets activated ONLY when you say, 'Ok Google',"" Google stated as a fact in its post. It shared a detailed link saying that it'll now be answering frequently asked questions about privacy and its products.",technology,"['google', 'facebook', 'post', 'called', 'notion', 'company', 'constantly', 'listening', 'people', 'conversations', 'myth', 'google', 'assistant', 'stays', 'standby', 'mode', 'gets', 'activated', 'say', 'google', 'google', 'stated', 'fact', 'post', 'shared', 'detailed', 'link', 'saying', 'answering', 'frequently', 'asked', 'questions', 'privacy', 'products']",2,-0.1992216727893212,-0.01720144970028407,2
4,"Google fined ₹4,400 crore by France over news copyright issue","Google has been fined €500 million (over ₹4,400 crore) in France over news copyright issue. The search giant failed to follow an order to reach a fair deal with publishers to use their news content on its platform. Google ignored the 2020 decision over displaying snippets of articles on its Google News service.",technology,"['google', 'fined', 'million', 'crore', 'france', 'news', 'copyright', 'issue', 'search', 'giant', 'failed', 'follow', 'order', 'reach', 'fair', 'deal', 'publishers', 'use', 'news', 'content', 'platform', 'google', 'ignored', 'decision', 'displaying', 'snippets', 'articles', 'google', 'news', 'service']",2,-0.20600879293053637,-0.049292473390497665,2
5,Who have been named the top CEOs for women amongst large US companies?,"Adobe's India-born CEO Shantanu Narayen has topped Comparably's list of the 25 best CEOs of large US companies rated by female employees. He's followed by Farmers Insurance CEO Jeffrey Dailey, Medallia's Leslie Stretch, and HubSpot's Brian Halligan. Microsoft CEO Satya Nadella ranks 9th on the list, Zoom's Eric Yuan 16th and IBM's Arvind Krishna ranks 17th on the list.",technology,"['adobe', 'india', 'born', 'ceo', 'shantanu', 'narayen', 'topped', 'comparably', 'list', 'best', 'ceos', 'large', 'companies', 'rated', 'female', 'employees', 'followed', 'farmers', 'insurance', 'ceo', 'jeffrey', 'dailey', 'medallia', 'leslie', 'stretch', 'hubspot', 'brian', 'halligan', 'microsoft', 'ceo', 'satya', 'nadella', 'ranks', 'list', 'zoom', 'eric', 'yuan', 'ibm', 'arvind', 'krishna', 'ranks', 'list']",2,0.05757035431946053,-0.03274043214928776,0
6,Google faces up to ₹8 crore fine per day in dispute with French news publishers,"Google must come up with proposals within two months to compensate French news publishers or face additional fines of up to €900,000 (around ₹8 crore) per day, France said. It fined Google €500-million (over ₹4,400 crore) for failing to strike a ""fair"" deal with publishers to use their content. Google ignored a 2020 order to fairly compensate publishers, France said.",technology,"['google', 'come', 'proposals', 'months', 'compensate', 'french', 'news', 'publishers', 'face', 'additional', 'fines', 'crore', 'day', 'france', 'said', 'fined', 'google', 'million', 'crore', 'failing', 'strike', 'fair', 'deal', 'publishers', 'use', 'content', 'google', 'ignored', 'order', 'fairly', 'compensate', 'publishers', 'france', 'said']",2,-0.19177236910360784,-0.04060514651545221,2
7,You're a bad human being: Musk to lawyer while defending Tesla-SolarCity deal,"World's second-richest person Elon Musk called a lawyer representing SolarCity shareholders at a US court ""a bad human being"". Musk, who was defending Tesla's 2016 acquisition of SolarCity for $2.6 billion, said, ""I've great respect for the court...but not for you, sir."" A shareholder lawsuit accuses Musk of conflict of interest as SolarCity was founded by Musk and his cousins.",technology,"['world', 'second', 'richest', 'person', 'elon', 'musk', 'called', 'lawyer', 'representing', 'solarcity', 'shareholders', 'court', 'bad', 'human', 'musk', 'defending', 'tesla', 'acquisition', 'solarcity', 'billion', 'said', 'great', 'respect', 'court', 'sir', 'shareholder', 'lawsuit', 'accuses', 'musk', 'conflict', 'solarcity', 'founded', 'musk', 'cousins']",2,-0.0980225985555095,0.021540957370523483,2
8,"Free, open internet under attack in several countries: Google CEO Sundar Pichai","Google and Alphabet's CEO Sundar Pichai in an interview with BBC said ""free and open internet is under attack"" globally. He was responding to a question on whether the Chinese model of the internet was on the rise. Many countries ""are restricting the flow of information"" and the idea of an open internet is taken for granted, Pichai added.",technology,"['google', 'alphabet', 'ceo', 'sundar', 'pichai', 'interview', 'bbc', 'said', 'free', 'open', 'internet', 'attack', 'globally', 'responding', 'question', 'chinese', 'model', 'internet', 'rise', 'countries', 'restricting', 'flow', 'information', 'idea', 'open', 'internet', 'taken', 'granted', 'pichai', 'added']",2,-0.12364291761523151,-0.013228271412230435,2
9,"Bill Gates admits to 'messing up', blames himself for divorce with Melinda: Report","Microsoft Co-founder Bill Gates during Allen & Company's Sun Valley Conference last week admitted to ""messing up"" his 27 years of marriage with Melinda French Gates, The New York Post reported. ""He basically referred to the fact that it [the divorce] was his fault,"" a conference attendee said. ""He might have been on the verge of tears,"" the attendee added.
",technology,"['microsoft', 'founder', 'gates', 'allen', 'company', 'sun', 'valley', 'conference', 'week', 'admitted', 'messing', 'years', 'marriage', 'melinda', 'french', 'gates', 'new', 'york', 'post', 'reported', 'basically', 'referred', 'fact', 'divorce', 'fault', 'conference', 'attendee', 'said', 'verge', 'tears', 'attendee', 'added']",2,-0.07167882231876194,-0.03545394431485848,2
